,movie_id,title,genres
0,87,Dunston Checks In (1996),Children|Comedy
1,8,Tom and Huck (1995),Adventure|Children
2,74,Bed of Roses (1996),Drama|Romance
3,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
4,2,Jumanji (1995),Adventure|Children|Fantasy
5,3,Grumpier Old Men (1995),Comedy|Romance
6,4,Waiting to Exhale (1995),Comedy|Drama|Romance
7,5,Father of the Bride Part II (1995),Comedy
8,7,Sabrina (1995),Comedy|Romance
9,9,Sudden Death (1995),Action
10,10,GoldenEye (1995),Action|Adventure|Thriller
11,11,"American President, The (1995)",Comedy|Drama|Romance
12,13,Balto (1995),Adventure|Animation|Children
13,14,Nixon (1995),Drama
14,15,Cutthroat Island (1995),Action|Adventure|Romance
15,17,Sense and Sensibility (1995),Drama|Romance
16,19,Ace Ventura: When Nature Calls (1995),Comedy
17,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
18,21,Get Shorty (1995),Comedy|Crime|Thriller
19,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
20,25,Leaving Las Vegas (1995),Drama|Romance
21,26,Othello (1995),Drama
22,27,Now and Then (1995),Children|Drama
23,28,Persuasion (1995),Drama|Romance
24,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
25,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
26,31,Dangerous Minds (1995),Drama
27,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
28,36,Dead Man Walking (1995),Crime|Drama
29,38,It Takes Two (1995),Children|Comedy
30,39,Clueless (1995),Comedy|Romance
31,40,"Cry, the Beloved Country (1995)",Drama
32,41,Richard III (1995),Drama|War
33,42,Dead Presidents (1995),Action|Crime|Drama
34,43,Restoration (1995),Drama
35,44,Mortal Kombat (1995),Action|Adventure|Fantasy
36,45,To Die For (1995),Comedy|Drama|Thriller
37,46,How to Make an American Quilt (1995),Drama|Romance
38,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
39,49,When Night Is Falling (1995),Drama|Romance
40,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
41,52,Mighty Aphrodite (1995),Comedy|Drama|Romance
42,53,Lamerica (1994),Adventure|Drama
43,54,"Big Green, The (1995)",Children|Comedy
44,55,Georgia (1995),Drama
45,57,Home for the Holidays (1995),Drama
46,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
47,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
48,61,Eye for an Eye (1996),Drama|Thriller
49,62,Mr. Holland's Opus (1995),Drama
50,64,Two if by Sea (1996),Comedy|Romance
51,65,Bio-Dome (1996),Comedy
52,68,French Twist (Gazon maudit) (1995),Comedy|Romance
53,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
54,71,Fair Game (1995),Action
55,72,Kicking and Screaming (1995),Comedy|Drama
56,73,"Misérables, Les (1995)",Drama|War
57,75,Big Bully (1996),Comedy|Drama
58,77,Nico Icon (1995),Documentary
59,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
60,79,"Juror, The (1996)",Drama|Thriller
61,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
62,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
63,82,Antonia's Line (Antonia) (1995),Comedy|Drama
64,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
65,85,Angels and Insects (1995),Drama|Romance
66,86,White Squall (1996),Action|Adventure|Drama
67,92,Mary Reilly (1996),Drama|Horror|Thriller
68,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
69,94,Beautiful Girls (1996),Comedy|Drama|Romance
70,95,Broken Arrow (1996),Action|Adventure|Thriller
71,96,In the Bleak Midwinter (1995),Comedy|Drama
72,97,"Hate (Haine, La) (1995)",Crime|Drama
73,99,Heidi Fleiss: Hollywood Madam (1995),Documentary
74,24,Powder (1995),Drama|Sci-Fi
75,18,Four Rooms (1995),Comedy
76,89,Nick of Time (1995),Action|Thriller
77,69,Friday (1995),Comedy
78,16,Casino (1995),Crime|Drama
79,6,Heat (1995),Action|Crime|Thriller
80,88,Black Sheep (1996),Comedy
81,76,Screamers (1995),Action|Sci-Fi|Thriller
82,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
83,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
84,34,Babe (1995),Children|Drama
85,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
86,12,Dracula: Dead and Loving It (1995),Comedy|Horror
87,23,Assassins (1995),Action|Crime|Thriller
